power 2224, 4474, 2226, 4470, 2206, 2216, 2224, 2222, 2204, 2212, 2226, 2218, 2224, 4482, 4466, 2226,
guide 2228, 2226, 2210, 2222, 4484, 4468, 2216, 2210, 2228, 2204, 2224, 2204, 4484, 2226, 4484, 4484,
exit 2216, 4466, 2208, 2226, 4462, 2208, 2210, 2222, 2218, 2226, 2226, 2222, 4464, 2220, 4466, 4464,
info 4474, 4482, 2206, 2226, 4484, 4480, 2224, 2218, 2218, 2204, 2226, 2204, 2222, 4460, 2224, 4478,
menu 4468, 2226, 2208, 4466, 4466, 2226, 2226, 2210, 2226, 2222, 2206, 2210, 2208, 4466, 4484, 2208,
settings 4464, 2206, 2216, 2214, 2222, 2226, 4484, 2226, 2204, 2224, 2218, 2210, 4484, 4464, 2206, 4476,
up 2226, 2228, 4484, 2228, 4472, 4468, 2226, 2230, 2206, 2206, 2218, 2226, 4484, 2226, 2228, 4484,
down 4478, 2228, 4486, 2228, 4470, 4486, 2226, 2224, 2228, 2228, 2228, 2228, 2228, 2228, 2228, 4486,
left 2226, 4486, 4486, 2228, 4486, 4482, 2216, 2222, 2222, 2228, 2206, 2228, 4486, 4486, 4486, 2226,
right 4460, 4482, 4464, 2218, 4466, 4468, 2212, 2214, 2204, 2220, 2220, 2204, 2224, 4484, 4484, 2216,
okay 4480, 2218, 2212, 2222, 4482, 2204, 2224, 2208, 2222, 2226, 2210, 2222, 2226, 4462, 4462, 4468,
dayPlus 2220, 2224, 2214, 4464, 4484, 4484, 2206, 2206, 2202, 2206, 2220, 2206, 4462, 2226, 4466, 2224,
dayMinus 4480, 2222, 2204, 4472, 4482, 4466, 2206, 2214, 2220, 2226, 2212, 2208, 2216, 2208, 4482, 2208,
pagePlus 2228, 4470, 2204, 4474, 4484, 4484, 2220, 2208, 2206, 2224, 2222, 2222, 4474, 4484, 2204, 2178,
pageMinus 4484, 4484, 2226, 4478, 4484, 4482, 2202, 2204, 2226, 2226, 2226, 2226, 2204, 4482, 2224, 2204,
a 4468, 4464, 4478, 2224, 4484, 2212, 2226, 2208, 2222, 2206, 2208, 2226, 2222, 2204, 2226, 4462,
b 4484, 4484, 4472, 2220, 2226, 4482, 2212, 2204, 2208, 2226, 2224, 2212, 4472, 4480, 4482, 2226,
c 2224, 2224, 2208, 4480, 2210, 4482, 2214, 2208, 2204, 2206, 2204, 2226, 2208, 4484, 4484, 2224,
d 4472, 2224, 2224, 4462, 2226, 4484, 2216, 2206, 2224, 2210, 2226, 2210, 4462, 2226, 4480, 2206,
fav 4464, 2218, 4480, 2204, 4484, 2226, 2204, 2204, 2212, 2218, 2226, 2206, 2220, 4462, 2226, 4484,
channelPlus 4472, 4484, 2206, 4462, 2206, 2204, 2212, 2222, 2226, 2210, 2208, 2226, 4464, 2224, 4480, 2204,
channelMinus 2208, 2214, 4462, 4484, 2208, 2226, 2210, 2204, 2208, 2226, 2222, 2226, 2216, 2204, 4484, 2206,
last 4462, 4464, 2206, 2226, 4482, 2218, 2226, 2208, 2224, 2206, 2224, 2206, 2220, 2226, 4468, 4484,
skip 4470, 4466, 4478, 4484, 4484, 4482, 2226, 2226, 2224, 2222, 2204, 2226, 2208, 4486, 4472, 4484,
demand 4462, 4476, 4484, 2214, 2218, 4484, 2206, 2226, 2226, 2224, 2212, 2206, 4484, 4472, 4470, 2222,
music 2208, 2224, 2220, 2222, 4462, 2198, 2212, 2224, 2226, 2186, 2218, 2210, 4484, 4470, 4484, 4462,
backSkip 2214, 2218, 4468, 4472, 4484, 4466, 2226, 2228, 2226, 2206, 2218, 2206, 4484, 2206, 2226, 2218,
list 4482, 2208, 4470, 4464, 4486, 4484, 2204, 2204, 2218, 2208, 2222, 2206, 2206, 2204, 2222, 2208,
live 2222, 4484, 4484, 4476, 4484, 4482, 2224, 2208, 2224, 2226, 2222, 2226, 4462, 4466, 4476, 4462,
rewind 2204, 4484, 4482, 4484, 4466, 2222, 2208, 2226, 2206, 2214, 2208, 2206, 4464, 2222, 2206, 2226,
play 4464, 4482, 2222, 4484, 4474, 2212, 2216, 2206, 2226, 2226, 2216, 2226, 2214, 2208, 4466, 2204,
fastForward 4480, 2218, 4464, 4476, 4480, 2208, 2210, 2206, 2220, 2226, 2206, 2226, 2218, 4482, 2224, 2206,
stop 2226, 2214, 4464, 4474, 4482, 2216, 2226, 2206, 2216, 2206, 2212, 2220, 4470, 4478, 2226, 2226,
pause 4478, 4464, 4482, 4484, 4468, 2206, 2226, 2226, 2226, 2224, 2222, 2208, 2224, 2208, 2206, 2212,
record 4462, 2204, 2214, 2206, 4482, 4464, 2218, 2224, 2204, 2226, 2206, 2226, 2224, 2222, 4462, 4482,
1 4484, 2226, 2222, 2220, 2204, 2216, 2226, 2224, 2206, 2206, 2224, 2206, 4476, 4484, 4472, 4468,
2 2226, 4468, 2226, 2206, 2206, 2226, 2208, 2224, 2208, 2226, 2226, 2208, 2218, 4476, 4464, 4472,
